Insulation,Temperature,Num_Occupants,Avg_Age,Home_Size,Prediction
2,70,4,31.6,8,148.17
10,90,8,25.4,8,188.86
2,84,4,64.5,1,210.56
2,88,10,46.6,7,194.22
7,38,2,32.0,8,177.32
5,74,4,44.0,3,176.56
5,88,5,59.1,5,228.21
10,38,10,33.1,2,182.56
3,43,9,66.2,6,259.2
4,82,1,36.4,6,164.83
8,54,5,44.5,7,217.18
8,69,6,42.8,3,195.09
6,44,5,32.6,5,162.86
8,64,9,28.5,2,155.94
3,40,6,62.2,8,251.5
10,83,1,30.1,4,174.57
5,47,1,44.5,4,180.7
5,64,9,51.0,4,208.2
3,88,6,32.0,5,157.65
8,67,7,38.0,6,197.62
6,57,4,53.2,5,219.98
2,50,8,47.5,2,173.85
8,81,7,55.6,3,231.26
8,75,5,53.8,6,237.59
5,58,6,61.9,5,244.25
5,65,1,20.7,6,127.53
6,46,10,57.6,6,249.85
3,64,1,42.3,4,159.51
4,61,3,30.4,1,126.81
10,52,3,26.8,7,178.79
6,60,10,26.7,4,149.29
2,85,4,41.4,5,168.21
2,75,6,53.4,1,180.84
5,72,5,67.7,1,239.51
6,51,7,68.4,6,278.27
4,76,5,70.1,6,262.47
6,38,7,66.7,3,261.92
10,69,3,61.9,5,265.76
8,44,5,38.5,5,191.56
3,72,5,57.3,7,221.92
5,62,2,72.0,6,273.61
10,48,1,70.3,3,285.98
2,75,6,28.2,5,137.46
8,57,3,42.5,3,190.0
4,83,4,40.1,5,172.88
10,86,9,15.7,5,160.69
4,54,6,30.9,1,128.53
9,73,1,51.3,8,240.67
4,56,4,72.4,1,251.35
9,51,5,27.5,8,182.0
7,40,4,68.5,5,277.46
6,67,5,62.5,8,261.39
10,51,3,23.0,5,159.06
7,83,10,48.2,6,223.28
9,46,8,36.2,5,196.0
4,66,10,54.8,6,224.22
6,51,10,65.0,7,276.34
3,45,8,53.4,2,199.31
2,44,8,50.0,7,205.16
5,82,6,35.0,2,159.58
3,88,6,55.2,2,195.69
10,86,3,60.6,2,246.91
10,45,1,56.2,8,264.5
5,49,10,47.8,2,194.69
5,60,3,44.5,2,171.73
2,57,9,58.3,5,220.75
9,62,1,63.7,5,264.66
10,81,2,16.3,3,146.57
2,78,9,20.7,4,126.41
4,59,7,67.4,5,256.98
6,44,4,40.0,5,181.86
9,44,6,27.1,2,154.25
4,57,5,52.5,4,203.25
10,85,9,27.4,6,185.17
3,55,7,72.1,1,249.94
6,44,7,67.3,5,271.95
3,49,2,37.3,2,138.49
5,58,4,56.7,3,216.07
5,71,8,37.1,6,177.62
7,45,6,60.6,7,263.91
3,76,1,44.0,4,166.0
4,84,8,44.8,4,184.74
9,40,1,18.4,8,151.5
3,62,2,20.3,1,102.53
4,40,4,20.3,7,124.73
4,50,5,32.8,3,141.31
6,59,7,36.0,5,174.9
2,60,7,54.5,6,209.11
10,43,10,36.7,2,192.54
10,39,5,58.6,6,269.93
8,66,6,46.5,1,195.79
3,87,9,53.0,8,219.15
7,69,1,66.8,4,256.57
10,69,4,43.3,5,215.57
7,60,2,40.5,7,195.54
10,72,1,39.6,2,187.0
3,61,10,58.3,6,231.05
8,65,7,35.7,1,167.89
8,51,7,20.5,5,145.47
8,71,3,25.7,4,151.19
9,85,2,56.8,8,256.99
7,55,9,58.2,6,253.7
7,56,2,69.9,1,257.88
8,44,2,31.8,7,178.35
8,67,9,34.6,4,181.9
10,44,10,43.4,4,219.98
3,66,4,35.8,8,165.03
5,80,4,23.1,8,150.81
3,40,6,45.7,7,195.4
5,79,1,40.7,8,186.49
5,43,8,41.0,4,180.86
3,67,1,68.0,4,237.77
9,67,2,38.4,7,202.41
3,38,2,30.5,5,133.84
2,83,6,17.9,7,132.19
9,48,1,62.5,4,260.18
6,53,10,36.2,6,184.59
6,55,3,53.2,1,201.28
5,48,10,29.5,6,160.09
5,74,2,37.4,8,179.03
6,49,2,53.4,4,215.41
3,59,5,40.5,6,169.94
3,71,3,27.4,8,143.51
9,43,8,51.4,3,232.08
2,62,8,34.4,1,131.99
3,78,10,62.1,8,247.19
4,52,6,39.3,8,183.92
10,81,9,24.3,7,180.67
2,72,10,22.5,8,136.88
6,77,3,46.1,3,186.95
3,42,5,50.5,2,186.29
4,57,7,28.2,2,127.72
9,67,2,54.1,1,216.92
8,85,7,66.1,5,269.17
10,42,4,45.0,1,203.4
3,52,8,43.3,6,183.08
6,64,1,47.1,1,177.46
4,83,1,33.1,4,153.06
7,47,1,67.6,3,260.38
4,46,4,68.9,7,269.67
5,43,4,66.2,6,263.29
6,42,7,49.4,6,220.8
4,44,4,21.9,5,119.65
4,72,8,48.5,8,211.69
4,90,3,15.1,3,130.65
8,46,6,21.0,5,145.41
6,52,3,71.2,2,263.12
9,79,1,48.3,4,213.67
5,79,4,72.4,1,250.98
8,66,7,18.3,1,127.8
6,77,8,27.7,3,150.97
7,72,8,59.4,4,242.6
10,54,10,31.0,7,200.44
7,42,2,26.9,4,144.62
9,48,9,16.5,2,129.77
6,38,10,70.2,7,293.9
7,38,8,55.3,1,225.07
7,49,7,28.4,1,141.85
8,79,5,46.9,5,214.09
10,90,2,24.5,4,168.76
9,61,3,42.1,8,218.69
7,52,4,49.5,2,202.08
4,58,3,21.2,4,115.51
7,60,2,69.5,3,264.48
10,74,3,58.1,1,235.52
9,69,5,41.4,3,196.15
9,52,9,51.8,3,232.52
6,62,6,54.3,5,225.0
8,38,9,37.0,2,179.41
5,50,1,35.0,6,161.86
3,69,7,17.4,1,108.53
4,45,7,69.4,3,258.24
3,47,2,69.1,1,234.49
3,52,5,65.3,6,248.01
2,52,1,20.3,5,102.12
3,41,10,57.6,3,221.17
5,79,6,35.8,8,180.48
8,89,6,35.3,3,180.64
4,42,9,29.0,8,160.39
10,46,6,27.1,3,165.25
6,90,3,26.0,7,163.5
3,55,4,53.5,1,186.35
9,89,5,26.8,4,170.23
5,58,2,65.7,2,237.05
4,56,3,72.5,8,281.37
4,86,10,21.1,3,140.03
10,90,2,23.6,1,159.01
9,56,10,56.5,2,243.26
8,58,5,61.9,3,251.2
8,74,5,37.4,3,178.9
7,83,1,27.3,1,145.82
7,90,1,55.4,8,239.02
9,53,7,70.9,4,293.99
6,89,8,15.2,4,143.38
2,58,7,64.8,7,246.69
3,59,5,48.6,6,193.56
3,88,3,41.5,5,173.63
9,47,6,19.3,7,156.5
3,57,9,33.6,6,157.04
2,75,1,71.7,8,259.31
3,61,4,18.7,8,121.07
5,50,5,67.0,1,243.19
7,65,7,19.5,6,141.62
4,67,1,38.0,1,143.82
6,42,3,46.0,7,208.74
2,67,10,60.4,3,217.92
10,41,8,27.6,8,192.77
8,41,1,56.3,3,232.31
8,87,10,24.2,7,173.11
7,45,1,16.4,3,109.87
8,74,3,43.1,7,210.27
7,70,8,30.8,4,163.75
5,53,3,23.5,1,112.51
3,72,3,28.6,2,128.92
3,58,7,22.1,4,116.74
9,73,2,19.2,1,134.45
2,51,3,28.6,3,114.87
3,87,3,62.2,4,218.1
4,74,6,33.9,7,164.34
6,62,1,51.2,2,194.65
4,74,3,72.6,1,245.71
7,67,10,49.1,2,207.07
4,71,8,68.9,5,259.94
9,67,3,69.6,7,293.69
6,87,4,70.4,6,270.57
7,48,10,45.4,5,212.24
9,84,3,50.1,1,207.35
6,50,6,17.2,4,117.69
3,61,7,41.5,2,157.34
4,66,2,69.2,7,262.4
2,70,2,43.2,4,158.3
2,85,7,37.9,8,172.93
10,66,2,56.3,7,257.42
9,84,2,64.7,5,264.38
10,57,5,46.9,1,208.14
9,60,10,64.2,2,266.45
8,78,4,61.5,8,266.43
6,70,9,32.6,1,151.64
7,82,10,55.8,7,248.65
3,38,7,60.2,2,221.07
3,39,7,71.2,7,276.25
7,69,5,54.6,3,219.49
9,49,8,59.0,7,272.16
6,90,7,24.0,3,152.84
3,87,2,34.6,5,158.24
7,42,8,60.1,8,270.04
8,63,7,45.7,5,213.89
2,83,6,56.8,1,190.26
6,70,6,65.3,3,248.62
5,74,2,43.4,7,190.65
2,76,3,18.1,5,118.76
7,80,5,28.0,8,171.53
7,41,6,64.1,2,253.59
5,50,9,30.8,1,138.65
9,70,5,45.0,8,229.42
3,40,10,44.6,5,188.97
10,54,1,24.1,5,159.1
3,50,3,62.9,3,224.7
4,73,9,42.3,8,196.28
3,69,1,45.7,5,173.4
4,57,10,55.7,3,216.27
6,49,7,55.5,1,215.93
5,81,6,52.6,6,216.76
7,73,4,36.5,2,164.27
2,70,3,45.6,5,170.22
9,63,8,23.6,5,161.58
3,43,1,69.6,8,266.36
8,77,8,24.9,2,151.3
10,84,2,63.8,6,272.96
2,44,1,23.5,2,94.54
10,65,6,52.5,4,238.86
7,50,4,27.5,4,149.1
4,62,7,61.6,2,224.57
3,60,1,30.3,1,119.71
6,52,7,57.1,2,224.61
3,70,4,17.6,2,109.8
2,90,5,64.1,6,229.33
9,64,9,45.2,2,207.68
3,41,5,45.0,1,164.79
10,49,9,49.5,7,249.48
4,43,10,43.8,8,204.6
3,90,10,25.6,2,143.38
6,90,4,67.9,8,271.08
6,66,7,53.7,7,232.37
3,67,2,32.5,3,135.41
10,43,2,54.5,6,252.22
3,85,6,53.9,2,191.65
8,79,4,52.9,4,224.24
5,71,1,63.2,7,246.5
10,43,7,42.8,7,228.0
9,43,10,59.2,1,250.31
10,67,3,54.9,3,236.28
6,89,1,59.4,2,215.77
10,75,7,24.1,5,168.06
8,90,8,48.0,1,203.69
10,53,6,59.3,4,261.75
5,42,7,26.0,2,127.44
8,71,10,66.1,1,259.3
9,42,1,53.1,1,218.82
7,63,5,51.0,6,223.76
6,68,4,53.5,2,204.64
7,68,6,53.8,8,242.19
3,61,5,58.6,2,206.72
5,76,8,22.4,1,130.32
7,39,2,58.9,4,241.05
2,64,2,54.8,6,201.6
2,54,1,66.3,5,234.49
5,52,5,46.7,2,183.19
2,46,10,27.8,1,114.59
5,45,6,22.7,7,140.47
2,40,9,46.5,6,192.35
4,73,6,55.7,3,206.04
8,58,2,56.4,3,229.53
6,44,6,21.6,3,125.01
6,60,10,32.3,7,178.62
8,41,2,44.1,3,195.32
2,43,5,56.0,2,197.94
8,50,2,19.9,4,131.83
10,84,3,32.8,1,172.78
9,73,5,37.6,5,195.17
5,49,8,57.9,7,245.85
10,76,4,19.6,7,162.34
6,47,4,30.5,8,169.76
8,58,9,57.8,7,261.84
9,50,10,44.6,4,217.04
9,53,6,53.0,5,240.58
3,44,2,54.2,5,206.39
8,52,4,51.2,5,226.53
6,86,9,34.6,1,165.67
2,41,2,61.2,8,236.57
6,87,9,73.0,5,281.57
6,88,3,39.7,7,189.25
3,73,7,36.2,7,165.87
2,49,9,62.0,2,221.58
2,60,1,17.5,6,105.53
4,87,9,17.8,4,138.17
9,70,8,51.3,6,241.55
2,40,7,61.2,5,231.38
9,39,7,33.4,2,172.89
6,80,3,39.0,7,186.41
9,90,10,72.0,2,283.0
3,86,5,62.9,6,231.48
7,46,9,32.8,6,180.27
3,55,8,31.6,2,132.11
2,63,9,16.5,5,110.24
5,86,7,35.5,1,161.22
3,71,10,60.1,3,221.2
10,70,10,40.9,3,208.42
4,82,7,20.0,3,132.55
9,58,4,31.9,2,164.25
4,38,10,52.4,7,228.2
7,71,10,68.1,8,290.95
2,84,9,32.9,8,164.29
8,83,4,27.4,3,159.24
8,69,2,19.6,7,146.83
2,73,9,48.1,4,182.28
7,62,2,45.4,8,213.54
3,74,1,22.5,4,123.1
8,52,3,45.4,4,202.63
2,45,2,58.4,7,222.47
9,71,6,71.3,1,275.66
9,83,4,27.3,7,176.88
2,73,4,36.5,7,156.98
6,81,5,61.1,7,249.43
9,53,1,18.0,2,122.54
6,78,3,64.4,3,239.28
2,77,4,16.3,6,120.53
4,57,7,18.1,8,127.69
8,79,3,52.3,2,211.75
2,71,10,19.0,1,111.21
4,63,5,24.3,8,141.57
4,38,10,58.4,8,251.08
8,50,8,39.2,2,183.7
4,39,10,45.1,7,205.28
4,68,2,17.5,3,112.63
7,68,4,30.1,5,160.71
5,85,3,52.1,8,220.37
6,48,6,24.2,5,141.45
4,65,6,22.9,1,117.38
2,77,2,47.7,8,188.01
7,63,1,32.4,1,143.97
4,44,10,27.4,6,148.09
4,49,6,42.4,1,161.69
4,47,5,18.6,1,96.35
6,62,1,46.3,1,175.31
6,69,2,47.0,8,211.51
4,40,3,59.5,1,213.39
4,46,2,15.4,7,108.43
4,63,8,17.4,7,124.78
7,48,6,44.1,1,184.58
10,39,5,56.0,4,253.09
5,61,7,45.4,7,203.52
10,44,9,45.8,7,238.96
4,76,10,33.7,8,174.33
8,51,9,44.4,5,213.4
9,42,8,41.4,2,196.53
9,88,2,45.5,3,202.73
10,74,9,20.8,5,162.5
5,52,2,51.7,5,207.93
8,63,9,63.9,8,284.17
5,63,8,55.6,6,230.41
6,78,10,53.5,3,217.32
2,79,10,22.1,6,135.76
8,62,5,47.1,7,224.18
6,61,6,19.2,6,132.95
10,86,5,47.6,5,228.57
9,55,10,58.2,7,271.1
5,74,2,67.8,7,261.63
2,63,10,37.6,7,167.85
7,87,8,57.1,3,230.42
9,61,8,22.2,2,143.69
4,73,5,19.7,1,117.46
8,83,9,70.5,4,281.83
4,74,10,68.7,1,244.35
5,84,7,72.6,1,254.75
9,84,8,56.7,8,265.5
8,70,1,69.0,7,282.35
7,87,4,17.4,4,145.07
4,54,8,35.9,8,177.59
2,85,8,65.3,2,223.06
2,88,9,40.5,2,164.75
5,71,7,20.4,8,142.53
3,66,6,38.0,5,159.87
4,86,4,65.9,2,228.14
7,86,4,16.7,7,151.21
4,51,4,15.7,2,95.05
6,43,1,24.7,8,149.63
7,68,8,15.2,1,120.77
6,54,7,64.6,3,252.15
9,49,9,72.5,5,306.85
6,85,3,44.6,5,192.22
3,42,1,50.4,6,197.96
6,48,5,58.6,3,231.96
5,51,8,69.6,2,260.01
10,69,7,55.5,1,234.35
7,67,5,24.5,6,151.65
6,56,5,61.4,2,234.18
4,64,4,17.5,7,122.27
7,88,9,56.0,3,228.88
2,67,2,58.0,3,197.65
3,52,9,55.8,8,232.8
3,77,10,71.8,7,273.84
10,67,1,25.9,8,177.97
9,43,9,54.4,1,234.05
6,50,9,64.2,3,254.86
6,47,5,69.1,3,265.25
10,76,2,45.1,4,212.78
10,57,9,44.3,5,225.72
9,88,8,17.1,4,156.77
8,42,5,63.3,6,272.78
10,61,6,46.4,5,227.0
10,76,7,31.2,8,201.09
8,83,4,53.1,8,243.54
3,55,1,51.6,2,180.45
10,84,10,18.5,6,167.05
9,73,3,41.6,3,193.73
6,54,7,39.9,3,176.16
5,42,3,42.2,3,173.24
9,76,1,65.7,7,276.1
2,71,6,51.8,1,176.44
2,66,8,65.4,8,252.33
3,54,4,56.6,3,205.27
7,50,10,51.8,7,240.76
8,82,7,28.2,3,163.07
10,84,10,54.3,4,249.43
2,89,10,55.3,6,213.12
7,76,10,67.4,5,274.07
6,79,3,64.5,2,234.88
3,54,8,48.6,2,181.62
9,47,1,62.0,5,263.31
5,73,7,15.1,4,124.19
5,61,7,68.5,2,252.33
9,56,7,18.1,6,149.92
4,48,7,67.2,7,268.19
4,53,7,16.1,6,113.38
5,82,6,22.0,2,135.78
4,84,4,70.5,8,269.04
8,61,7,44.6,3,201.52
4,66,10,48.3,4,195.33
5,76,7,48.1,2,187.72
8,75,5,30.6,6,174.49
5,90,4,22.3,7,154.53
10,64,9,29.1,5,184.32
4,49,3,31.3,6,148.41
4,51,5,55.4,2,205.08
8,57,7,39.9,8,212.27
5,61,6,31.4,6,159.28
3,50,3,69.9,7,264.52
2,61,10,32.2,7,153.17
2,49,7,36.5,5,151.05
6,84,2,16.4,2,130.55
6,79,1,25.9,5,147.96
9,45,3,21.0,5,147.35
3,49,4,42.2,3,161.28
7,57,1,69.6,4,268.59
7,41,3,25.3,7,155.83
7,89,4,62.5,6,253.33
5,40,9,28.6,2,137.46
7,42,6,68.5,8,293.35
10,70,6,16.0,1,134.71
7,65,1,62.4,7,257.13
9,46,10,69.0,1,280.2
6,46,5,55.6,3,223.04
8,47,9,25.1,8,174.98
5,71,3,15.0,2,114.01
2,59,1,72.8,4,249.17
10,53,5,40.1,4,203.78
2,55,5,53.1,2,185.5
7,46,5,70.4,8,297.31
4,44,1,52.2,8,217.77
9,57,5,35.6,3,180.48
3,68,4,16.8,8,122.72
3,75,6,34.2,6,156.62
7,40,10,15.4,5,129.55
7,87,4,40.4,8,202.64
5,82,4,43.9,2,175.35
10,69,9,46.6,6,236.56
7,54,2,17.7,6,128.88
4,65,10,67.9,6,265.87
2,89,3,71.5,2,233.61
9,59,7,45.2,8,232.99
4,62,8,60.3,2,222.0
7,88,1,49.9,4,205.29
6,60,7,64.4,2,245.47
10,69,7,57.4,4,253.61
3,87,8,55.2,3,202.48
9,87,4,64.0,8,279.48
10,84,4,23.9,1,156.62
3,73,6,71.6,2,246.35
4,59,3,28.2,7,144.58
8,73,1,31.3,6,170.56
6,40,4,59.2,1,225.57
4,56,6,70.9,4,262.93
3,68,9,54.0,4,205.29
9,49,10,69.8,6,304.21
7,42,5,23.7,7,154.4
5,80,6,30.8,8,168.13
2,71,6,25.5,8,138.24
2,86,8,65.8,3,228.28
2,42,6,25.0,5,118.38
8,58,7,19.2,2,128.48
9,84,1,70.8,4,276.7
6,67,7,35.9,7,183.95
2,80,10,15.3,5,124.45
5,45,7,17.6,4,113.96
2,79,3,43.4,7,174.03
2,60,5,45.6,5,173.62
7,81,4,68.3,6,271.34
9,60,1,27.1,6,165.58
4,39,8,56.6,3,220.91
2,86,10,50.7,7,204.69
10,67,4,28.6,8,189.71
10,51,3,31.5,6,186.88
10,59,2,63.7,3,263.78
5,82,10,53.9,4,216.8
4,47,10,23.1,6,136.37
4,44,7,70.4,2,257.16
8,43,5,52.4,5,234.15
4,63,8,62.9,7,252.1
7,48,8,59.3,5,253.15
2,89,10,70.4,8,265.32
9,61,5,19.9,1,130.68
9,57,2,32.5,7,186.46
6,89,8,50.3,5,214.98
6,70,1,52.9,3,202.58
6,55,8,68.8,8,288.79
7,78,6,23.9,7,159.05
5,58,5,50.6,8,220.54
